dataset,metric,number_of_variants,ft_percentage,boost,mistake_type,mistake_percentage,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,5,15,True,SwappedFeature,50,0.19292426031102528,True,0.002586931751400661,True,0.004071489907801151,True
argouml-spl,f1,5,15,True,SwappedFeature,75,0.2614223208613921,True,0.9984398189559739,False,0.9971117535606027,False
argouml-spl,f1,5,15,True,SwappedFeature,100,0.217648695886347,True,0.9999999994833524,False,1.0,False
argouml-spl,f1,5,20,False,SwappedCondition,25,0.0867356625762509,True,4.02571686851054e-11,True,4.6566128730773926e-09,True
argouml-spl,f1,5,20,False,SwappedCondition,50,0.25294639574407163,True,0.08096709940105612,False,0.09546476043760777,False
argouml-spl,f1,5,20,False,SwappedCondition,75,0.052581288870848314,True,0.999983681658197,False,0.9999751579016447,False
argouml-spl,f1,5,20,False,SwappedCondition,100,0.3750283209680163,True,0.9999999986616803,False,0.9999999823048711,False
argouml-spl,f1,5,20,False,ErroneousConjunction,25,0.17746956515883477,True,7.10973563621841e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,20,False,ErroneousConjunction,50,0.21747341034342538,True,3.6688659020415085e-09,True,1.7695128917694092e-08,True
argouml-spl,f1,5,20,False,ErroneousConjunction,75,0.2704675732187236,True,0.0016007683677949044,True,0.0026913899928331375,True
argouml-spl,f1,5,20,False,ErroneousConjunction,100,0.17579319637873586,True,0.941996333507512,False,0.9379327688366175,False
argouml-spl,f1,5,20,False,SwappedFeature,25,0.21126453840397763,True,2.1685135886589324e-10,True,4.6566128730773926e-09,True
argouml-spl,f1,5,20,False,SwappedFeature,50,0.19588481641473615,True,0.05667422825794549,False,0.06736754160374403,False
argouml-spl,f1,5,20,False,SwappedFeature,75,0.2511543878960152,True,0.9999945803311193,False,0.9999847523868084,False
argouml-spl,f1,5,20,False,SwappedFeature,100,0.19435537845124784,True,0.9999999999987218,False,1.0,False
argouml-spl,f1,5,20,True,SwappedCondition,25,0.08917651917067707,True,3.831610799526922e-11,True,4.6566128730773926e-09,True
argouml-spl,f1,5,20,True,SwappedCondition,50,0.2588107006403215,True,0.08178649612559281,False,0.09546476043760777,False
argouml-spl,f1,5,20,True,SwappedCondition,75,0.05306741866728722,True,0.9999843879114605,False,0.9999751579016447,False
argouml-spl,f1,5,20,True,SwappedCondition,100,0.372872510327911,True,0.999999998752411,False,0.9999999823048711,False
